from,to,gap_seconds,gap_minutes,gap_hours
20250402135038,20250408123452,513854.0,8564.233333333334,142.73722222222221
20250408133513,20250408153354,7121.0,118.68333333333334,1.9780555555555557
20250408160356,20250509100011,2656575.0,44276.25,737.9375
20250509143428,20250510124644,79936.0,1332.2666666666667,22.204444444444444
